date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20230627,1200,,TD,15.2N,104.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20230627,1800,,TS,15.2N,105.5W,40,1002,20/40/30/20,0/0/0/0,0/0/0/0
20230628,0000,,TS,15.2N,106.4W,50,997,40/40/30/40,20/20/0/20,0/0/0/0
20230628,0600,,TS,15.2N,107.1W,55,994,40/40/30/40,20/20/0/20,0/0/0/0
20230628,1200,,HU,15.2N,107.6W,65,989,50/50/40/40,20/20/10/20,10/0/0/0
20230628,1800,,HU,15.3N,108.1W,70,986,60/70/50/50,20/30/20/20,10/10/0/10
20230629,0000,,HU,15.4N,108.7W,70,986,70/70/50/50,30/30/20/20,15/15/0/10
20230629,0600,,HU,15.6N,109.4W,75,982,80/80/50/50,30/30/20/20,15/15/0/10
20230629,1200,,HU,15.9N,109.9W,75,982,80/80/50/50,30/30/20/30,15/15/10/15
20230629,1800,,HU,16.2N,110.4W,75,980,90/90/50/50,40/30/20/30,20/15/10/15
20230630,0000,,HU,16.5N,111.0W,80,976,90/90/50/50,40/40/20/30,20/15/10/15
20230630,0600,,HU,16.7N,111.4W,85,973,70/70/50/50,30/30/20/30,15/15/10/15
20230630,1200,,HU,17.0N,111.9W,90,970,70/70/50/50,30/30/20/30,15/15/10/15
20230630,1800,,HU,17.3N,112.5W,90,970,70/60/60/70,30/30/20/30,15/15/10/15
20230701,0000,,HU,17.6N,113.1W,80,977,70/60/60/70,30/30/20/30,15/10/10/10
20230701,0600,,HU,17.9N,113.7W,70,983,70/60/60/70,30/30/20/30,15/10/0/10
20230701,1200,,TS,18.2N,114.2W,55,994,60/50/50/60,20/20/20/20,0/0/0/0
20230701,1800,,TS,18.5N,114.7W,50,997,50/40/40/50,20/0/0/20,0/0/0/0
20230702,0000,,TS,18.8N,115.2W,45,1000,50/40/40/50,0/0/0/0,0/0/0/0
20230702,0600,,TS,19.1N,115.8W,35,1005,40/0/0/40,0/0/0/0,0/0/0/0
20230702,1200,,LO,19.4N,116.4W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20230702,1800,,LO,19.7N,117.1W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20230703,0000,,LO,19.9N,117.8W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20230703,0600,,LO,20.0N,118.5W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20230703,1200,,LO,20.1N,119.3W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20230703,1800,,LO,20.2N,120.0W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20230704,0000,,LO,20.1N,120.6W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20230704,0600,,LO,20.0N,121.1W,15,1011,0/0/0/0,0/0/0/0,0/0/0/0
20230704,1200,,LO,19.9N,121.7W,15,1011,0/0/0/0,0/0/0/0,0/0/0/0
20230704,1800,,LO,19.9N,122.4W,15,1012,0/0/0/0,0/0/0/0,0/0/0/0
