date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20230629,0000,,LO,13.2N,96.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20230629,0600,,TD,13.8N,97.3W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20230629,1200,,TS,14.3N,98.2W,35,1004,40/0/0/0,0/0/0/0,0/0/0/0
20230629,1800,,TS,14.8N,99.0W,40,1003,40/20/0/0,0/0/0/0,0/0/0/0
20230630,0000,,TS,15.4N,99.9W,45,1002,50/30/0/30,0/0/0/0,0/0/0/0
20230630,0600,,TS,16.1N,100.9W,55,999,50/30/20/30,20/0/0/20,0/0/0/0
20230630,1200,,HU,16.8N,101.8W,70,994,60/40/30/50,20/20/15/20,10/10/0/10
20230630,1800,,HU,17.5N,102.7W,75,992,60/40/30/80,30/20/15/30,20/15/10/20
20230701,0000,,HU,18.4N,103.7W,65,995,60/40/30/80,30/20/15/30,10/10/0/0
20230701,0600,L,TS,19.2N,104.6W,55,999,50/40/30/50,20/20/0/0,0/0/0/0
