date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20230720,1200,,TD,12.8N,119.6W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20230720,1800,,TD,13.0N,120.2W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20230721,0000,,TD,13.7N,121.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20230721,0600,,TD,14.4N,121.9W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20230721,1200,,TD,15.1N,123.1W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20230721,1800,,TD,15.6N,124.5W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20230722,0000,,LO,16.0N,126.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20230722,0600,,LO,16.3N,127.5W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20230722,1200,,LO,16.5N,128.8W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20230722,1800,,LO,16.6N,129.9W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20230723,0000,,LO,16.7N,131.0W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
