date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20230923,1200,,TD,13.6N,118.5W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20230923,1800,,TD,14.0N,119.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20230924,0000,,TD,14.4N,120.9W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20230924,0600,,TD,14.8N,122.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20230924,1200,,TD,15.1N,123.4W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20230924,1800,,TD,15.1N,124.9W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20230925,0000,,LO,15.1N,125.9W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20230925,0600,,LO,15.4N,126.8W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20230925,1200,,LO,15.8N,128.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20230925,1800,,LO,15.7N,129.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20230926,0000,,LO,15.3N,131.1W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20230926,0600,,LO,14.9N,132.5W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20230926,1200,,LO,14.5N,134.0W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20230926,1800,,LO,13.9N,135.8W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20230927,0000,,LO,13.3N,137.7W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20230927,0600,,LO,12.5N,139.5W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20230927,1200,,LO,12.0N,141.2W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
