date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20231003,0000,,TD,11.2N,105.8W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20231003,0600,,TS,11.5N,106.4W,35,1006,0/0/20/30,0/0/0/0,0/0/0/0
20231003,1200,,TS,11.9N,107.0W,35,1005,0/0/20/30,0/0/0/0,0/0/0/0
20231003,1800,,TS,12.5N,107.4W,35,1005,0/0/20/30,0/0/0/0,0/0/0/0
20231004,0000,,TS,13.2N,107.8W,35,1005,0/0/20/50,0/0/0/0,0/0/0/0
20231004,0600,,TS,13.9N,108.2W,40,1003,20/0/40/60,0/0/0/0,0/0/0/0
20231004,1200,,TS,14.6N,108.6W,45,1001,20/0/40/60,0/0/0/0,0/0/0/0
20231004,1800,,TS,15.1N,108.8W,45,1001,20/0/40/60,0/0/0/0,0/0/0/0
20231005,0000,,TS,15.4N,109.0W,45,1001,30/30/60/60,0/0/0/0,0/0/0/0
20231005,0600,,TS,15.6N,109.2W,45,1001,30/30/60/60,0/0/0/0,0/0/0/0
20231005,1200,,TS,15.8N,109.4W,50,999,40/30/60/60,20/0/0/20,0/0/0/0
20231005,1800,,TS,15.9N,109.6W,50,999,40/30/60/60,20/0/0/20,0/0/0/0
20231006,0000,,TS,16.0N,109.8W,55,996,40/30/60/60,20/0/0/20,0/0/0/0
20231006,0600,,TS,16.1N,110.1W,60,990,50/40/60/70,20/0/0/20,0/0/0/0
20231006,1200,,TS,16.2N,110.5W,60,991,50/40/60/70,20/20/30/30,0/0/0/0
20231006,1800,,TS,16.2N,110.9W,60,991,50/50/60/70,20/20/30/30,0/0/0/0
20231007,0000,,TS,16.2N,111.3W,55,994,60/60/70/70,20/20/30/30,0/0/0/0
20231007,0600,,TS,16.1N,111.7W,55,995,60/60/90/50,20/30/30/30,0/0/0/0
20231007,1200,,TS,16.0N,112.0W,55,995,60/60/90/50,20/30/30/30,0/0/0/0
20231007,1800,,TS,16.0N,112.2W,55,995,60/70/100/50,20/40/40/0,0/0/0/0
20231008,0000,,TS,16.0N,112.4W,60,990,70/80/100/60,20/40/40/0,0/0/0/0
20231008,0600,,TS,16.3N,112.6W,60,990,70/80/100/60,20/40/40/0,0/0/0/0
20231008,1200,,TS,16.7N,112.8W,60,990,70/80/100/60,20/40/40/0,0/0/0/0
20231008,1800,,TS,17.3N,112.8W,60,990,70/80/100/60,20/40/40/0,0/0/0/0
20231009,0000,,TS,17.8N,112.7W,60,990,70/80/90/60,20/40/40/0,0/0/0/0
20231009,0600,,TS,18.1N,112.4W,55,992,70/80/80/60,20/30/30/0,0/0/0/0
20231009,1200,,TS,18.1N,112.0W,55,992,70/80/80/60,20/30/30/0,0/0/0/0
20231009,1800,,HU,17.8N,111.4W,65,985,70/80/80/60,20/40/20/20,10/20/0/15
20231010,0000,,HU,18.1N,110.6W,70,981,70/80/80/60,30/40/20/20,15/20/10/15
20231010,0600,,HU,18.4N,109.7W,75,979,70/100/80/60,30/40/30/20,15/20/10/10
20231010,1200,,HU,18.8N,108.5W,80,973,80/110/100/60,30/60/40/20,15/25/20/10
20231010,1800,,HU,19.3N,107.1W,105,952,80/120/100/60,30/50/40/30,15/25/20/15
20231011,0000,L,HU,20.1N,105.5W,120,942,80/120/100/60,30/50/40/30,15/25/20/15
20231011,0600,,TS,21.7N,103.5W,60,994,40/70/60/30,10/20/20/0,0/0/0/0
20231011,1200,,LO,24.5N,100.5W,20,1004,0/0/0/0,0/0/0/0,0/0/0/0
