date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20231021,0000,,LO,9.3N,95.8W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20231021,0600,,LO,9.6N,96.1W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20231021,1200,,LO,9.7N,96.6W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20231021,1800,,LO,9.5N,96.9W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20231022,0000,,LO,9.5N,96.7W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20231022,0600,,LO,9.6N,96.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20231022,1200,,TD,9.8N,96.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20231022,1800,,TS,10.2N,96.9W,35,1004,40/40/0/0,0/0/0/0,0/0/0/0
20231023,0000,,TS,10.8N,97.1W,35,1004,50/50/0/0,0/0/0/0,0/0/0/0
20231023,0600,,TS,11.4N,97.2W,35,1004,50/50/0/50,0/0/0/0,0/0/0/0
20231023,1200,,TS,11.9N,97.3W,40,1003,50/40/0/50,0/0/0/0,0/0/0/0
20231023,1800,,TS,12.6N,97.6W,45,1001,50/40/0/50,0/0/0/0,0/0/0/0
20231024,0000,,TS,13.3N,98.0W,50,998,50/40/30/50,20/20/0/0,0/0/0/0
20231024,0600,,TS,13.8N,98.5W,55,994,50/40/30/50,20/20/0/20,0/0/0/0
20231024,1200,,HU,14.2N,98.9W,65,990,50/40/30/50,30/20/0/30,15/10/0/15
20231024,1800,,HU,14.9N,99.4W,100,971,60/50/40/60,40/30/30/30,20/20/20/20
20231025,0000,,HU,15.7N,99.6W,130,938,60/50/50/60,40/30/30/30,20/20/20/20
20231025,0300,,HU,16.1N,99.7W,145,922,60/50/50/60,40/40/40/40,25/25/25/25
20231025,0600,,HU,16.7N,99.8W,145,924,60/50/50/60,40/40/40/40,25/25/25/25
20231025,0645,L,HU,16.8N,99.9W,140,929,60/50/50/60,40/40/40/40,20/20/20/20
20231025,1200,,HU,17.7N,100.3W,85,980,50/50/40/40,20/20/20/20,10/10/0/10
20231025,1800,,TS,18.6N,100.7W,40,1004,30/30/20/20,0/0/0/0,0/0/0/0
