date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20231121,1200,,TD,10.1N,119.8W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20231121,1800,,TD,10.3N,120.2W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20231122,0000,,TD,10.6N,120.4W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20231122,0600,,TD,11.0N,120.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20231122,1200,,TD,11.4N,120.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20231122,1800,,TD,11.8N,120.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20231123,0000,,TD,11.9N,120.8W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20231123,0600,,TD,11.9N,121.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20231123,1200,,TD,11.8N,121.3W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20231123,1800,,TD,11.9N,121.7W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20231124,0000,,TD,12.3N,122.2W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20231124,0600,,TD,12.7N,122.5W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20231124,1200,,TS,13.1N,122.6W,35,1004,20/20/0/0,0/0/0/0,0/0/0/0
20231124,1800,,TS,13.5N,122.7W,35,1004,20/20/0/0,0/0/0/0,0/0/0/0
20231125,0000,,TS,13.9N,122.8W,35,1004,20/20/0/0,0/0/0/0,0/0/0/0
20231125,0600,,TS,14.3N,122.9W,35,1004,20/20/0/0,0/0/0/0,0/0/0/0
20231125,1200,,TS,14.7N,123.0W,35,1004,30/20/0/0,0/0/0/0,0/0/0/0
20231125,1800,,TS,15.0N,122.9W,40,1002,40/30/0/30,0/0/0/0,0/0/0/0
20231126,0000,,TS,14.9N,122.7W,40,1002,40/30/0/30,0/0/0/0,0/0/0/0
20231126,0600,,LO,14.5N,123.1W,35,1004,40/30/0/30,0/0/0/0,0/0/0/0
20231126,1200,,LO,14.4N,123.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20231126,1800,,LO,14.3N,124.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20231127,0000,,LO,14.1N,124.4W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20231127,0600,,LO,13.8N,124.7W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20231127,1200,,LO,13.7N,125.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
